"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","test","dip_55.wav","dip","55",,,,"T4","7",,,"tip","dip","d-right","234"
"phonetic categorization","test","dip_30.wav","dip","30",,,,"T4","7",,,"tip","dip","d-right","234"
"phonetic categorization","test","dip_50.wav","dip","50",,,,"T5","8",,,"tip","dip","d-right","234"
"phonetic categorization","test","din_35.wav","din","35",,,,"T5","8",,,"tin","din","d-right","234"
"phonetic categorization","test","dill_5.wav","dill","5",,,,"T5","8",,,"till","dill","d-right","234"
"phonetic categorization","test","dill_15.wav","dill","15",,,,"T5","8",,,"till","dill","d-right","234"
"phonetic categorization","test","dip_40.wav","dip","40",,,,"T5","8",,,"tip","dip","d-right","234"
"phonetic categorization","test","dip_25.wav","dip","25",,,,"T5","8",,,"tip","dip","d-right","234"
"phonetic categorization","test","dip_65.wav","dip","65",,,,"T5","8",,,"tip","dip","d-right","234"
"phonetic categorization","test","dill_-5.wav","dill","-5",,,,"T5","8",,,"till","dill","d-right","234"
"phonetic categorization","test","din_70.wav","din","70",,,,"T5","8",,,"tin","din","d-right","234"
"phonetic categorization","test","dill_45.wav","dill","45",,,,"T5","8",,,"till","dill","d-right","234"
"phonetic categorization","test","din_55.wav","din","55",,,,"T5","8",,,"tin","din","d-right","234"
"phonetic categorization","test","din_30.wav","din","30",,,,"T5","8",,,"tin","din","d-right","234"
"phonetic categorization","test","din_50.wav","din","50",,,,"T6","9",,,"tin","din","d-right","234"
